exit_date	name	buy_price	buy_date	sell_price	hold_days	ret_pct
2025-12-17	코오롱티슈진	65000	2025-11-21	72100	18	10.92
2025-12-16	LS마린솔루션	36050	2025-12-12	33150	2	-8.04
2025-12-16	우진	20250	2025-12-11	18630	3	-8.00
2025-12-16	ISC	102600	2025-11-25	98400	15	-4.09
2025-12-16	원익홀딩스	37450	2025-12-15	34450	1	-8.01
2025-12-16	현대오토에버	302000	2025-12-08	277500	6	-8.11
2025-12-15	에코프로	117500	2025-12-08	108100	5	-8.00
2025-12-15	비에이치아이	63700	2025-12-12	58600	1	-8.01
2025-12-15	리노공업	63100	2025-11-25	61500	14	-2.54
2025-12-12	리가켐바이오	175500	2025-11-14	176400	20	0.51
2025-12-12	이수페타시스	149600	2025-12-11	137600	1	-8.02
2025-12-12	SK바이오팜	140700	2025-11-26	133100	12	-5.40
2025-12-11	한국타이어앤테크놀로지	58500	2025-11-10	59100	23	1.03
2025-12-11	한솔케미칼	239000	2025-11-27	230500	10	-3.56
2025-12-10	한국전력	42700	2025-10-17	49800	38	16.63
2025-12-09	HL만도	59200	2025-12-05	54400	2	-8.11
2025-12-08	퓨쳐켐	29900	2025-11-14	29900	16	0.00
2025-12-08	한국앤컴퍼니	29600	2025-11-27	27200	7	-8.11
2025-12-08	디앤디파마텍	91000	2025-11-17	83700	15	-8.02
2025-12-08	오스코텍	52300	2025-11-13	53300	17	1.91
2025-12-05	씨어스	44100	2025-08-22	118400	70	168.48
2025-12-05	보로노이	239000	2025-11-20	219500	11	-8.16
2025-12-01	대덕전자	29550	2025-10-01	48300	38	63.45
2025-11-26	케어젠	78200	2025-11-21	71900	3	-8.06
2025-11-26	GS	61600	2025-11-20	56600	4	-8.12
2025-11-25	S-Oil	82200	2025-11-11	80400	10	-2.19
2025-11-24	펩트론	386000	2025-11-20	355000	2	-8.03
2025-11-21	ISC	88100	2025-11-18	81000	3	-8.06
2025-11-20	미래에셋생명	9080	2025-11-06	9100	10	0.22
2025-11-19	SK하이닉스	465500	2025-10-17	562000	23	20.73
2025-11-19	인벤티지랩	68200	2025-11-17	62700	2	-8.06
2025-11-19	SK케미칼	79800	2025-11-13	73400	4	-8.02
2025-11-19	LG이노텍	256000	2025-11-06	235500	9	-8.01
2025-11-19	효성	126700	2025-10-31	130600	13	3.08
2025-11-19	대한전선	24200	2025-10-31	23000	13	-4.96
2025-11-18	LG유플러스	15710	2025-11-07	15120	7	-3.76
2025-11-18	원익IPS	49200	2025-10-01	62100	29	26.22
2025-11-18	효성중공업	1851000	2025-10-23	2077000	18	12.21
2025-11-18	LG화학	391000	2025-10-22	388000	19	-0.77
2025-11-17	로보티즈	109200	2025-09-18	206500	37	89.10
2025-11-14	유진테크	61800	2025-09-17	88900	37	43.85
2025-11-14	LG에너지솔루션	454500	2025-10-22	463000	17	1.87
2025-11-14	한중엔시에스	55200	2025-11-10	50700	4	-8.15
2025-11-13	피에스케이	37400	2025-10-20	36600	18	-2.14
2025-11-13	삼성전기	174200	2025-09-03	221500	46	27.15
2025-11-11	올릭스	129000	2025-11-10	118600	1	-8.06
2025-11-10	하나마이크론	15760	2025-09-09	24350	39	54.51
2025-11-10	심텍	42000	2025-09-24	53700	28	27.86
2025-11-07	디앤디파마텍	80100	2025-11-05	73600	2	-8.11
2025-11-07	영원무역홀딩스	156900	2025-11-06	144300	1	-8.03
2025-11-06	삼성전자	86100	2025-09-25	99200	25	15.21
2025-11-05	이수페타시스	113900	2025-10-31	104700	3	-8.08
2025-11-05	한미반도체	128000	2025-10-13	133100	17	3.98
2025-11-05	테크윙	56900	2025-09-22	60400	27	6.15
2025-10-31	두산에너빌리티	96400	2025-10-29	88600	2	-8.09
2025-10-31	코미코	83200	2025-08-26	110700	43	33.05
2025-10-31	엘앤에프	133600	2025-10-24	122900	5	-8.01
2025-10-29	원익홀딩스	7540	2025-08-26	29800	41	295.23
2025-10-24	큐리옥스바이오시스템즈	56900	2025-09-18	68000	21	19.51
2025-10-23	티씨케이	149000	2025-09-17	170000	21	14.09
2025-10-22	하나머티리얼즈	45900	2025-10-17	42200	3	-8.06
2025-10-22	동진쎄미켐	43150	2025-10-01	41850	10	-3.01
2025-10-20	두산테스나	53800	2025-10-15	49450	3	-8.09
2025-10-17	하이젠알앤엠	69000	2025-10-15	63400	2	-8.12
2025-10-17	메지온	48550	2025-09-02	58800	28	21.11
2025-10-17	에이피알	261000	2025-10-01	240000	7	-8.05
2025-10-14	DB하이텍	58400	2025-09-19	55300	12	-5.31
2025-10-14	디앤디파마텍	41600	2025-09-08	44550	21	7.09
2025-10-13	한화에어로스페이스	1107000	2025-09-30	1018000	4	-8.04
2025-10-01	유니테스트	18600	2025-09-08	18320	17	-1.51
2025-09-25	넥스트바이오메디컬	69900	2025-09-04	70800	15	1.29
2025-09-25	오리엔탈정공	8870	2025-09-04	9850	15	11.05
2025-09-25	세진중공업	18510	2025-09-02	20550	17	11.02
2025-09-25	파두	24200	2025-09-22	22250	3	-8.06
2025-09-25	비나텍	44050	2025-08-28	45400	20	3.06
2025-09-24	삼성생명	151700	2025-09-02	152800	16	0.73
2025-09-22	한국항공우주	115000	2025-09-17	105800	3	-8.00
2025-09-22	삼성중공업	22000	2025-08-27	21250	18	-3.41
2025-09-19	STX엔진	36300	2025-08-14	42200	25	16.25
2025-09-18	HD현대마린엔진	57800	2025-07-24	87900	39	52.08
2025-09-18	HD현대중공업	521000	2025-08-27	499500	16	-4.13
2025-09-17	SNT에너지	57000	2025-08-26	57500	16	0.88
2025-09-17	한화엔진	35650	2025-07-25	43750	37	22.72
2025-09-17	오스코텍	44300	2025-09-10	40750	5	-8.01
2025-09-10	엘앤케이바이오	9220	2025-09-08	8480	2	-8.03
2025-09-09	SK오션플랜트	25600	2025-09-05	23550	2	-8.01
2025-09-08	테스	29050	2025-08-19	28700	14	-1.20
2025-09-08	미코	16550	2025-08-27	15220	8	-8.04
2025-09-08	비에이치아이	55600	2025-08-26	51100	9	-8.09
2025-09-05	SNT다이내믹스	62800	2025-08-25	57700	9	-8.12
2025-09-04	에스앤에스텍	46250	2025-07-03	50600	44	9.41
2025-09-04	삼성E&A	30000	2025-08-27	27600	6	-8.00
2025-09-03	에이피알	208500	2025-08-06	212000	19	1.68
2025-09-02	원익IPS	40900	2025-08-13	38300	13	-6.36
2025-09-02	덕산네오룩스	48850	2025-08-27	44900	4	-8.09
2025-09-01	파마리서치	664000	2025-08-08	659000	15	-0.75
2025-08-28	로보티즈	98100	2025-08-25	90200	3	-8.05
2025-08-22	OCI홀딩스	102100	2025-08-12	93900	7	-8.03
2025-08-20	한국카본	30350	2025-07-29	29550	15	-2.64
2025-08-20	한화오션	97600	2025-07-28	105200	16	7.79
2025-08-19	펌텍코리아	66700	2025-07-31	65500	12	-1.80
2025-08-19	파라다이스	21650	2025-08-08	19910	6	-8.04
2025-08-19	이오테크닉스	232000	2025-08-07	213000	7	-8.19
2025-08-19	펩트론	294500	2025-07-18	301000	21	2.21
2025-08-18	큐리옥스바이오시스템즈	50200	2025-08-08	46150	5	-8.07
2025-08-18	HD현대인프라코어	16540	2025-08-04	15210	9	-8.04
2025-08-18	효성중공업	891000	2025-06-30	1177000	34	32.10
2025-08-14	오리엔탈정공	8060	2025-08-07	7410	5	-8.06
2025-08-14	이수페타시스	58800	2025-07-08	61500	27	4.59
2025-08-14	덕산네오룩스	46600	2025-08-13	42850	1	-8.05
2025-08-13	LS ELECTRIC	329000	2025-08-05	302500	6	-8.05
2025-08-12	한국전력	42000	2025-08-07	38600	3	-8.10
2025-08-11	네오팜	17960	2025-07-22	17860	14	-0.56
2025-08-08	일진전기	43800	2025-07-29	40800	8	-6.85
2025-08-07	씨어스	30550	2025-07-11	32250	19	5.56
2025-08-06	네이처셀	36900	2025-07-30	33900	5	-8.13
2025-08-05	DN오토모티브	29000	2025-07-23	26650	9	-8.10
2025-08-01	한화에어로스페이스	998000	2025-07-29	918000	3	-8.02
2025-08-01	에이피알	183700	2025-07-31	169000	1	-8.00
