code,1m,3m,6m,12m
002720,-20.75471698113207,-18.884120171673825,-15.056179775280897,-17.1960569550931
002760,-11.576135351736417,-21.127879269261317,-2.9325513196480912,-11.418376449598577
002780,-0.78125,23.300970873786397,56.06758832565284,37.11201079622133
002785,-6.02055800293686,-12.08791208791209,-12.925170068027214,-10.739191073919107
002787,0.8760951188986343,-8.200455580865606,-1.104294478527612,-18.668012108980825
002790,-18.050541516245488,-32.84023668639053,-17.90235081374322,0.22075055187638082
002795,-12.730318257956451,-22.29679343773303,-14.449917898193764,10.615711252653925
00279K,-13.70449678800857,-26.325411334552108,-6.7129629629629655,9.989082969432307
002800,-13.287904599659283,-17.770597738287563,-5.037313432835822,-20.962732919254655
002810,10.547667342799194,0.22988505747125743,38.50063532401524,58.54545454545455
002820,-11.729622266401595,-7.499999999999996,-6.72268907563025,-23.71134020618557
002840,-15.503875968992254,-21.42857142857143,-18.26857532379005,-36.29117959617428
002870,-6.451612903225811,-14.4963144963145,-9.21739130434782,-6.451612903225811
002880,-12.37677984665937,-20.477137176938363,-24.242424242424242,-14.712153518123671
002900,-0.696378830083566,-8.939974457215838,11.580594679186218,59.86547085201794
002920,-5.341089370703333,-21.145374449339204,-10.945273631840791,-7.684373388344512
002960,1.21212121212122,6.144067796610164,9.748083242059135,37.637362637362635
002990,-26.186131386861312,-20.530451866404718,9.472259810554796,39.482758620689665
002995,-9.01481004507405,-9.999999999999998,29.75206611570247,2.0953757225433467
003000,-29.567642956764296,-7.846715328467157,31.16883116883118,28.6624203821656
003010,-21.843971631205672,0.7312614259597838,8.039215686274503,9.325396825396815
003030,-21.27139364303179,5.160026126714556,14.103472714386967,-27.313769751693005
003060,1141.0358565737051,719.7368421052632,408.1566068515498,356.7448680351906
003070,-17.417677642980934,-6.93359375,5.071664829106948,10.300925925925931
003075,-14.887126296522268,-11.259541984732824,-11.033163265306122,-11.033163265306122
003080,-12.244897959183676,-13.68613138686131,-17.59581881533101,-5.964214711729621
003090,-16.666666666666664,-31.77737881508079,-22.920892494929003,-1.349948078920038
003100,-0.4761904761904745,-12.368972746331242,9.024517475221705,27.439024390243905
003120,-16.594827586206897,-26.56546489563567,-15.869565217391301,22.468354430379755
003160,-10.344827586206895,-21.42857142857143,9.578544061302674,95.22184300341297
003200,-17.94466403162055,-27.51396648044693,-14.001657000828505,21.261682242990652
003220,-16.324626865671643,-24.367622259696464,-32.19954648526077,-34.62099125364432
003230,-9.895833333333337,4.037800687285231,-12.56317689530686,27.473684210526315
003240,-18.405916187345927,-9.480401093892432,23.35403726708074,27.963917525773184
003280,-26.307448494453244,19.969040247678027,40.313820156910076,45.131086142322104
003300,-7.2529982866933125,-4.470588235294115,-2.2864019253910906,9.87821380243572
003310,-27.99442896935933,-35.61643835616438,73.2573726541555,7.933194154488521
003350,-9.053497942386834,-83.09751434034418,-83.19391634980988,-83.50746268656717
003380,-14.490566037735853,-31.992797118847538,36.17788461538463,86.04269293924467
003460,-11.031518624641834,-16.307277628032345,11.89189189189188,29.10602910602911
003465,-6.696428571428569,-0.15923566878981443,15.89648798521257,30.353430353430344
003470,4.90196078431373,-7.279029462738307,39.686684073107045,82.9059829059829
003475,-2.386363636363631,-16.924564796905216,11.848958333333325,40.1305057096248
003480,-5.724508050089449,-1.1257035647279534,10.366492146596862,13.577586206896552
003490,8.870967741935477,7.355864811133195,25.0,19.20529801324504
003495,-2.985074626865669,-5.601659751037347,-5.0104384133611735,1.7897091722595126
003520,-24.454392837157247,-30.26859504132231,-33.82352941176471,-32.66832917705735
003530,-19.37581274382315,-33.333333333333336,21.807465618860512,77.39628040057225
003535,-20.8779443254818,-33.78136200716846,-16.30804077010193,22.14876033057851
003540,-19.999999999999996,-36.3265306122449,7.216494845360821,70.3056768558952
003545,-14.784394250513344,-30.369127516778526,-3.488372093023251,20.85032032615026
003547,-14.946466809421842,-31.280276816609,-2.6470588235294135,21.765787860208462
003550,18.891170431211492,17.563451776649753,38.51674641148326,74.6606334841629
003555,2.553191489361706,-3.856382978723405,5.701754385964919,31.215970961887486
003570,-23.63796133567663,-24.56597222222222,-7.257203842049098,26.4919941775837
003580,-20.896860986547082,-15.192307692307693,-23.13725490196078,-43.73205741626794
003610,1.764705882352935,-12.773109243697478,4.8484848484848575,33.762886597938135
003620,-15.847665847665848,-19.883040935672515,1.9345238095238138,5.061349693251538
003650,4.933110367892968,-11.991584852734928,13.574660633484159,22.91870714985309
003670,-3.2520325203251987,2.145922746781115,13.875598086124397,93.96903015484924
003680,-7.100591715976334,-11.13207547169811,-5.800000000000005,-6.3618290258449335
003690,11.783960720130926,-2.8449502133712667,17.657192075796722,67.81326781326781
003720,-4.048964218455742,11.123227917121037,57.25308641975309,149.44920440636474
003780,-10.834813499111906,-21.928460342146195,-26.500732064421673,-13.14878892733564
003800,-5.612998522895129,-19.01140684410646,6.6777963272120155,26.284584980237156
003830,-6.655710764174194,-11.937984496124033,-2.73972602739726,4.4117647058823595
003850,-6.931702344546387,-11.787439613526573,4.223744292237441,8.175355450236976
003920,-6.796116504854366,-5.882352941176472,-6.6147859922178975,-39.849624060150376
003925,-6.408544726301734,-3.443526170798894,0.42979942693410766,-14.407814407814412
003960,-13.221884498480241,-25.747724317295184,-23.45844504021448,-26.606683804627252
004000,-5.734767025089605,5.200000000000005,9.355509355509351,48.16901408450705
004020,-4.2424242424242475,1.412066752246477,23.63067292644758,61.224489795918366
004060,522.6993865030674,415.2284263959391,895.0980392156863,834.0490797546013
